StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q32,Q30_1,Q30_2,Q30_3,Q21_1,Q21_2,Q21_3,Q21_4,Q21_5,Q24_1,Q24_2,Q24_3,Q25_1,Q25_2,Q25_3,Q25_4,Q27_1,Q27_2,Q27_3,Q27_4,Q27_5,Q27_6,Q27_7,Q27_8,Q13_1,Q13_2,Q13_3,Q13_4,Q13_5,Q13_6,Q13_7,Q5_1,Q5_2,Q5_3,Q5_4,Q5_5,Q5_6,Q5_7,Q5_8,Q5_9,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q6_6,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,Q9_6,Q21_1,Q21_2,Q21_3,Q21_4,Q21_5,Q21_6,Q21_7,Q21_8,Q7_1,Q7_2,Q7_3,Q7_4,Q7_5,Q7_6,Q7_7,Q23_1,Q23_2,Q23_3,Q17,Q18
12/11/2021 23:30,12/12/2021 9:16,IP Address,98.116.116.247,100,35206,TRUE,12/12/2021 9:16,R_1ojOfKPWasrLW6U,,,,,41.01550293,-73.8635025,anonymous,EN,I Agree,5021798,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,A moderate amount,None at all,A moderate amount,A little,A great deal,Somewhat agree,Agree,Strongly agree,Somewhat agree,Somewhat agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Neither Agree nor Disagree,Somewhat agree,Somewhat agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither Agree nor Disagree,Somewhat agree,Agree,Somewhat agree,Agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Male,LIberal
12/12/2021 11:35,12/12/2021 11:49,IP Address,73.197.107.79,100,892,TRUE,12/12/2021 11:49,R_qQusLGhHIEmgqQh,,,,,40.43060303,-74.40200043,anonymous,EN,I Agree,8164444,Somewhat Agree,Agree,Agree,A lot,None at all,A lot,A great deal,A great deal,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Somewhat agree,Strongly agree,Disagree,Strongly agree,Strongly disagree,Agree,Agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Somewhat disagree,Neither Agree nor Disagree,Strongly agree,Strongly agree,Somewhat agree,Agree,Agree,Agree,Strongly agree,Agree,Strongly agree,Somewhat disagree,Somewhat disagree,Strongly disagree,Disagree,Somewhat agree,Agree,Strongly agree,Strongly agree,Strongly agree,Female,LIberal
12/12/2021 12:10,12/12/2021 12:18,IP Address,74.73.250.155,100,479,TRUE,12/12/2021 12:18,R_stDOOJgl1oUGMMx,,,,,40.72970581,-73.81629944,anonymous,EN,I Agree,3660270,Strongly Agree,Strongly Agree,Strongly Agree,A great deal,A lot,A great deal,A great deal,A great deal,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Female,Conservative
12/12/2021 13:46,12/12/2021 13:53,IP Address,100.37.75.226,100,383,TRUE,12/12/2021 13:53,R_3mGHZXnUNUY4di1,,,,,40.54679871,-74.18039703,anonymous,EN,I Agree,3143196,Agree,Agree,Agree,A moderate amount,A great deal,A great deal,A little,A moderate amount,Agree,Agree,Agree,Somewhat agree,Neither agree nor disagree,Agree,Agree,Strongly agree,Agree,Strongly disagree,Strongly agree,Strongly disagree,Somewhat agree,Strongly agree,Strongly disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Agree,Agree,Somewhat agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Somewhat agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,Strongly agree,Agree,Female,
12/12/2021 13:41,12/12/2021 13:59,IP Address,47.18.165.207,100,1039,TRUE,12/12/2021 13:59,R_esRQqMoh2QLOwNP,,,,,40.62139893,-73.97049713,anonymous,EN,I Agree,11230,Strongly Agree,Strongly Agree,Strongly Agree,A great deal,None at all,A great deal,A lot,A lot,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Somewhat agree,Agree,Somewhat disagree,Agree,Disagree,Agree,Strongly agree,Disagree,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat disagree,Neither Agree nor Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Female,LIberal
12/12/2021 13:27,12/12/2021 14:03,IP Address,141.149.62.124,100,2127,TRUE,12/12/2021 14:03,R_3Jt05W1NhITLM59,,,,,40.94259644,-73.11160278,anonymous,EN,I Agree,3759735,Strongly Agree,Strongly Agree,Strongly Agree,A lot,A little,A lot,A lot,A lot,Agree,Agree,Agree,Somewhat agree,Neither agree nor disagree,Agree,Agree,Somewhat agree,Somewhat agree,Disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Agree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat agree,Neither Agree nor Disagree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Female,LIberal
12/12/2021 14:43,12/12/2021 14:50,IP Address,98.13.197.81,100,383,TRUE,12/12/2021 14:50,R_1PS2D9eWXPxJQIH,,,,,40.71490479,-73.98930359,anonymous,EN,I Agree,23270,Agree,Agree,Agree,A great deal,A lot,A lot,A lot,A lot,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Male,
12/12/2021 16:09,12/12/2021 16:16,IP Address,68.132.61.22,100,410,TRUE,12/12/2021 16:16,R_3hc1uRrYVQ9pkXl,,,,,40.81080627,-73.36669922,anonymous,EN,I Agree,4284141,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,A little,A great deal,A lot,A great deal,A little,Strongly agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Somewhat agree,Agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Female,
12/12/2021 18:42,12/12/2021 18:58,IP Address,108.29.159.91,100,972,TRUE,12/12/2021 18:58,R_1IRcPqjsN0QtOdk,,,,,40.87030029,-73.85250092,anonymous,EN,I Agree,4678502,Strongly Agree,Strongly Agree,Strongly Agree,A moderate amount,A little,A lot,A little,A moderate amount,Agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Female,LIberal
12/12/2021 18:31,12/12/2021 19:03,IP Address,197.232.23.137,100,1894,TRUE,12/12/2021 19:03,R_3kMbqW4G8dmRGgr,,,,,-1.284103394,36.81550598,anonymous,EN,I Agree,4526706,Strongly Agree,Strongly Agree,Strongly Agree,A lot,A little,A lot,A lot,A lot,Strongly agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Female,Conservative
12/12/2021 19:39,12/12/2021 19:49,IP Address,68.197.3.252,100,622,TRUE,12/12/2021 19:49,R_smOlTh5dLXhPiV3,,,,,40.82049561,-73.91829681,anonymous,EN,I Agree,4512175,Strongly Agree,Strongly Agree,Strongly Agree,A great deal,None at all,A great deal,A great deal,A great deal,Strongly agree,Disagree,Agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Strongly agree,Disagree,Strongly agree,Disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Male,LIberal
12/12/2021 20:23,12/12/2021 20:36,IP Address,173.68.103.68,100,830,TRUE,12/12/2021 20:36,R_30dyEb8Ts72Iv4g,,,,,40.94760132,-73.86239624,anonymous,EN,I Agree,7040847,Disagree,Disagree,Disagree,A lot,None at all,A great deal,A great deal,A lot,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Agree,Disagree,Somewhat disagree,Strongly agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat disagree,Neither Agree nor Disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither Agree nor Disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Female,LIberal
12/12/2021 21:17,12/12/2021 22:08,IP Address,67.85.68.77,100,3056,TRUE,12/12/2021 22:08,R_3CBHfSMY0dncXfg,,,,,40.87309265,-73.87259674,anonymous,EN,I Agree,4259,Agree,Agree,Agree,A great deal,None at all,A great deal,A great deal,A great deal,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Agree,Disagree,Agree,Strongly disagree,Agree,Agree,Strongly disagree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Somewhat agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Somewhat agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Somewhat disagree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Female,LIberal
12/12/2021 22:07,12/12/2021 22:15,IP Address,68.173.186.72,100,467,TRUE,12/12/2021 22:15,R_3CIqfEZwS99j6lZ,,,,,40.7960968,-73.95130157,anonymous,EN,I Agree,291930,Agree,Agree,Agree,A great deal,None at all,A lot,A lot,A great deal,Agree,Strongly agree,Agree,Somewhat agree,Neither agree nor disagree,Agree,Strongly agree,Neither agree nor disagree,Agree,Agree,Somewhat agree,Disagree,Agree,Agree,Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Neither Agree nor Disagree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Female,LIberal
12/13/2021 7:57,12/13/2021 8:14,IP Address,72.229.2.216,100,1002,TRUE,12/13/2021 8:14,R_2pY557FtTdlN24y,,,,,40.72599792,-73.84799957,anonymous,EN,I Agree,3746499,Agree,Agree,Agree,A lot,A moderate amount,A great deal,A great deal,A great deal,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Somewhat agree,Agree,Somewhat disagree,Agree,Somewhat disagree,Somewhat agree,Agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Somewhat agree,Somewhat disagree,Neither Agree nor Disagree,Somewhat disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Female,LIberal
12/13/2021 9:07,12/13/2021 9:13,IP Address,72.69.158.136,100,358,TRUE,12/13/2021 9:13,R_3izqWVEP9k1MQaY,,,,,40.75970459,-73.98100281,anonymous,EN,I Agree,111271,Agree,Agree,Agree,A great deal,A little,A great deal,A great deal,A great deal,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Strongly agree,Disagree,Agree,Agree,Agree,Agree,Agree,Somewhat agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Somewhat agree,Somewhat agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Somewhat agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Somewhat disagree,Somewhat disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Somewhat agree,Agree,Somewhat agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Male,LIberal
12/13/2021 8:35,12/13/2021 9:25,IP Address,100.38.85.252,100,2989,TRUE,12/13/2021 9:25,R_3MmPf5VDNRfcdtb,,,,,40.69810486,-73.70449829,anonymous,EN,I Agree,405927,Agree,Agree,Agree,A moderate amount,None at all,A lot,A lot,A lot,Neither agree nor disagree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Somewhat disagree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Agree,Agree,Somewhat agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Somewhat agree,Somewhat agree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Agree,Agree,Male,Conservative
12/14/2021 11:31,12/14/2021 11:37,IP Address,128.228.53.15,100,374,TRUE,12/14/2021 11:37,R_2dGWzj5CyyS18UN,,,,,40.75030518,-74.00140381,anonymous,EN,I Agree,1066745,Agree,Agree,Agree,A lot,A little,A lot,A moderate amount,A moderate amount,Agree,Agree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Disagree,Agree,Agree,Strongly disagree,Agree,Agree,Agree,Agree,Agree,Somewhat agree,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Somewhat agree,Agree,Agree,Agree,Somewhat agree,Agree,Agree,Somewhat agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Somewhat agree,Agree,Somewhat agree,Neither agree nor disagree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Female,
12/17/2021 21:24,12/17/2021 21:28,IP Address,72.80.144.254,100,229,TRUE,12/17/2021 21:28,R_2tx1HS71OHi6WH2,,,,,40.71090698,-73.73880005,anonymous,EN,I Agree,4286457,Strongly Agree,Strongly Agree,Strongly Agree,A great deal,A little,A great deal,A great deal,A great deal,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Somewhat agree,Somewhat agree,Disagree,Somewhat agree,Strongly disagree,Strongly agree,Agree,Strongly disagree,Neither agree nor disagree,Somewhat agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Somewhat agree,Strongly agree,Agree,Somewhat agree,Strongly agree,Agree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Agree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Agree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Male,Conservative
12/17/2021 22:36,12/17/2021 23:02,IP Address,73.107.29.251,100,1545,TRUE,12/17/2021 23:02,R_b2xfs3wbi2QW8Sd,,,,,26.62840271,-82.0196991,anonymous,EN,I Agree,4184111,Strongly Agree,Strongly Agree,Strongly Agree,A lot,A little,A moderate amount,A great deal,A great deal,Agree,Strongly agree,Strongly agree,Agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Agree,Disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Disagree,Disagree,Strongly disagree,Disagree,Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Somewhat agree,Agree,Disagree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Female,Conservative
12/12/2021 12:51,12/12/2021 12:52,IP Address,141.149.62.124,17,68,FALSE,12/19/2021 12:52,R_09c8zZ9ewQt5y37,,,,,,,anonymous,EN,I Agree,3759735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/19/2021 22:50,12/19/2021 22:59,IP Address,68.198.189.176,100,515,TRUE,12/19/2021 22:59,R_1dnpUvxnVZYz49g,,,,,40.28250122,-74.3423996,anonymous,EN,I Agree,2140053,Neither agree nor disagree,Somewhat Agree,Somewhat Agree,A moderate amount,A moderate amount,A moderate amount,A little,A moderate amount,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Agree,Agree,Agree,Agree,Agree,Somewhat agree,Agree,Agree,Agree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Agree,Agree,Agree,Somewhat agree,Agree,Somewhat agree,Agree,Agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Agree,Agree,Male,
12/17/2021 18:12,12/17/2021 18:12,IP Address,98.116.116.247,17,26,FALSE,12/24/2021 18:12,R_wN0bJWjtMXbufT3,,,,,,,anonymous,EN,I Agree,5021798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/17/2021 17:59,12/19/2021 9:44,IP Address,24.189.202.145,17,143097,FALSE,12/26/2021 9:44,R_2qvXk9csbzmXkZ7,,,,,,,anonymous,EN,I Agree,4739276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/19/2021 18:33,12/19/2021 18:33,IP Address,68.173.89.98,6,17,FALSE,12/26/2021 18:33,R_vTWIDVsY0CCiexH,,,,,,,anonymous,EN,I Agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
